Number.old,sector.old,sector
57,Petroleum Refinery,1-fossil|oil
96,Production of electricity by coal,2-utility|electricity|fossil|coal
97,Production of electricity by gas,2-utility|electricity|fossil|gas
101,Production of electricity by petroleum and other oil derivatives,2-utility|electricity|fossil|oil
102,Production of electricity by biomass and waste,2-utility|electricity|renewable
107,Production of electricity nec,2-utility|electricity|renewable
98,Production of electricity by nuclear,2-utility|electricity|renewable
99,Production of electricity by hydro,2-utility|electricity|renewable
100,Production of electricity by wind,2-utility|electricity|renewable
103,Production of electricity by solar photovoltaic,2-utility|electricity|renewable
104,Production of electricity by solar thermal,2-utility|electricity|renewable
105,"Production of electricity by tide, wave, ocean",2-utility|electricity|renewable
106,Production of electricity by Geothermal,2-utility|electricity|renewable
130,Activities auxiliary to financial intermediation (67),7-finance
125,Air transport (62),5-transportation|air
59,"Plastics, basic",3-energy-intensive|rubber and plastics
60,Re-processing of secondary plastic into new plastic,3-energy-intensive|rubber and plastics
112,"Collection, purification and distribution of water (41)",2-utility|water&sewerage
133,Computer and related activities (72),9-other
113,Construction (45),4-buildings
114,Re-processing of secondary construction material into aggregates,4-buildings
1,Cultivation of paddy rice,6-agric. etc|agriculture|crops
2,Cultivation of wheat,6-agric. etc|agriculture|crops
3,Cultivation of cereal grains nec,6-agric. etc|agriculture|crops
4,"Cultivation of vegetables, fruit, nuts",6-agric. etc|agriculture|crops
5,Cultivation of oil seeds,6-agric. etc|agriculture|crops
6,"Cultivation of sugar cane, sugar beet",6-agric. etc|agriculture|crops
7,Cultivation of plant-based fibers,6-agric. etc|agriculture|crops
8,Cultivation of crops nec,6-agric. etc|agriculture|crops
9,Cattle farming,6-agric. etc|agriculture|livestock
10,Pigs farming,6-agric. etc|agriculture|livestock
11,Poultry farming,6-agric. etc|agriculture|livestock
12,Meat animals nec,6-agric. etc|agriculture|livestock
13,Animal products nec,6-agric. etc|agriculture|livestock
14,Raw milk,6-agric. etc|agriculture|livestock
15,"Wool, silk-worm cocoons",6-agric. etc|agriculture|crops
16,"Manure treatment (conventional), storage and land application",6-agric. etc|agriculture|crops
17,"Manure treatment (biogas), storage and land application",6-agric. etc|agriculture|crops
18,"Forestry, logging and related service activities (02)",6-agric. etc|agriculture|forestry
19,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",6-agric. etc|fishing
137,Education (80),9-other
21,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",1-fossil|oil
22,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1-fossil|gas
23,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",1-fossil|oil
61,N-fertiliser,3-energy-intensive|fertilisers and agrochemicals
62,P- and other fertiliser,3-energy-intensive|fertilisers and agrochemicals
63,Chemicals nec,3-energy-intensive|fertilisers and agrochemicals
128,"Financial intermediation, except insurance and pension funding (65)",9-other
138,Health and social work (85),9-other
119,Hotels and restaurants (55),9-other
124,Inland water transport,5-transportation|water
129,"Insurance and pension funding, except compulsory social security (66)",7-finance
139,Incineration of waste: Food,2-utility|waste
140,Incineration of waste: Paper,2-utility|waste
141,Incineration of waste: Plastic,2-utility|waste
142,Incineration of waste: Metals and Inert materials,2-utility|waste
143,Incineration of waste: Textiles,2-utility|waste
144,Manufacture of tobacco products,2-utility|waste
145,Incineration of waste: Oil/Hazardous waste,2-utility|waste
146,"Biogasification of food waste, incl. land application",2-utility|waste
147,"Biogasification of paper, incl. land application",2-utility|waste
148,"Biogasification of sewage slugde, incl. land application",2-utility|waste
149,"Composting of food waste, incl. land application",2-utility|waste
150,"Composting of paper and wood, incl. land application",2-utility|waste
151,"Waste water treatment, food",2-utility|waste
152,"Waste water treatment, other",2-utility|waste
153,Landfill of waste: Food,2-utility|waste
154,Landfill of waste: Paper,2-utility|waste
155,Landfill of waste: Plastic,2-utility|waste
156,Landfill of waste: Inert/metal/hazardous,2-utility|waste
157,Landfill of waste: Textiles,2-utility|waste
158,Landfill of waste: Wood,2-utility|waste
72,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,3-energy-intensive|iron and steel
73,Re-processing of secondary steel into new steel,3-energy-intensive|iron and steel
74,Precious metals production,3-energy-intensive
75,Re-processing of secondary preciuos metals into new preciuos metals,3-energy-intensive
76,Aluminium production,3-energy-intensive
77,Re-processing of secondary aluminium into new aluminium,3-energy-intensive
78,"Lead, zinc and tin production",3-energy-intensive
79,"Re-processing of secondary lead into new lead, zinc and tin",3-energy-intensive
80,Copper production,3-energy-intensive
81,Re-processing of secondary copper into new copper,3-energy-intensive
82,Other non-ferrous metal production,3-energy-intensive
83,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,3-energy-intensive
84,Casting of metals,3-energy-intensive
56,Manufacture of coke oven products,1-fossil|coal
88,Manufacture of electrical machinery and apparatus n.e.c. (31),3-energy-intensive
85,"Manufacture of fabricated metal products, except machinery and equipment (28)",3-energy-intensive
93,Manufacture of furniture; manufacturing n.e.c. (36),4-buildings
110,Manufacture of gas; distribution of gaseous fuels through mains,1-fossil|gas
86,Manufacture of machinery and equipment n.e.c. (29),3-energy-intensive
90,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",3-energy-intensive
91,"Manufacture of motor vehicles, trailers and semi-trailers (34)",3-energy-intensive
87,Manufacture of office machinery and computers (30),3-energy-intensive
65,Manufacture of glass and glass products,3-energy-intensive
66,Re-processing of secondary glass into new glass,3-energy-intensive
67,Manufacture of ceramic goods,3-energy-intensive
68,"Manufacture of bricks, tiles and construction products, in baked clay",3-energy-intensive
69,"Manufacture of cement, lime and plaster",3-energy-intensive|cement
70,Re-processing of ash into clinker,2-utility|waste
71,Manufacture of other non-metallic mineral products n.e.c.,3-energy-intensive
92,Manufacture of other transport equipment (35),5-transportation|land
89,"Manufacture of radio, television and communication equipment and apparatus (32)",3-energy-intensive
64,Manufacture of rubber and plastic products (25),3-energy-intensive
47,Manufacture of textiles (17),3-energy-intensive
48,Manufacture of wearing apparel; dressing and dyeing of fur (18),3-energy-intensive
49,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",3-energy-intensive
46,Manufacture of tobacco products (16),9-other
50,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",9-other
51,Re-processing of secondary wood material into new wood material,9-other
35,Processing of meat cattle,9-other
36,Processing of meat pigs,9-other
37,Processing of meat poultry,9-other
38,Production of meat products nec,9-other
39,Processing vegetable oils and fats,3-energy-intensive
40,Processing of dairy products,9-other
41,Processed rice,9-other
42,Sugar refining,3-energy-intensive
43,Processing of Food products nec,9-other
44,Manufacture of beverages,3-energy-intensive
45,Manufacture of fish products,9-other
24,Mining of uranium and thorium ores (12),3-energy-intensive|non-fossil mining
25,Mining of iron ores,3-energy-intensive|non-fossil mining
26,Mining of copper ores and concentrates,3-energy-intensive|non-fossil mining
27,Mining of nickel ores and concentrates,3-energy-intensive|non-fossil mining
28,Mining of aluminium ores and concentrates,3-energy-intensive|non-fossil mining
29,Mining of precious metal ores and concentrates,3-energy-intensive|non-fossil mining
30,"Mining of lead, zinc and tin ores and concentrates",3-energy-intensive|non-fossil mining
31,Mining of other non-ferrous metal ores and concentrates,3-energy-intensive|non-fossil mining
32,Quarrying of stone,9-other
33,Quarrying of sand and clay,9-other
34,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",9-other
20,Mining of coal and lignite; extraction of peat (10),1-fossil|coal
159,Activities of membership organisation n.e.c. (91),9-other
161,Other service activities (93),9-other
163,Extra-territorial organizations and bodies,9-other
135,Other business activities (74),9-other
121,Other land transport,5-transportation|land
127,Post and telecommunications (64),5-transportation|land
162,Private households with employed persons (95),9-other
58,Processing of nuclear fuel,3-energy-intensive
136,Public administration and defence; compulsory social security (75),9-other
55,"Publishing, printing and reproduction of recorded media (22)",9-other
52,Pulp,3-energy-intensive
53,Re-processing of secondary paper into new pulp,3-energy-intensive
54,Paper,3-energy-intensive
131,Real estate activities (70),4-buildings
160,"Recreational, cultural and sporting activities (92)",9-other
94,Recycling of waste and scrap,2-utility|waste
95,Recycling of bottles by direct reuse,2-utility|waste
132,Renting of machinery and equipment without operator and of personal and household goods (71),9-other
134,Research and development (73),8-scientific R&D
116,Retail sale of automotive fuel,1-fossil|oil
118,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",9-other
115,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",5-transportation|land
123,Sea and coastal water transport,5-transportation|water
111,Steam and hot water supply,2-utility|electricity|fossil|gas
126,Supporting and auxiliary transport activities; activities of travel agencies (63),9-other
108,Transmission of electricity,2-utility|electricity|transmission
109,Distribution and trade of electricity,2-utility|electricity|transmission
122,Transport via pipelines,5-transportation|land
120,Transport via railways,5-transportation|land
117,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",9-other
